story_group_id,story_type,value,title,thumbnail_id,disp_order,start_time,end_time
5064,5,10091,"鋼の聖女と聖なる学舎の異端児",0,1,"2021/03/25 15:00:00","2030/04/24 14:59:59"
5066,5,10093,"イノリＳＯＳ！！　タイムトラベル・ドラゴンズ",0,1,"2021/04/26 15:00:00","2030/04/24 14:59:59"
5068,5,10095,"以心電心！\nアオイトイフレンズ",0,1,"2021/05/25 15:00:00","2030/04/24 14:59:59"
5070,5,10097,"エンドレスサマープロデュース　\n真夏のふたり占めパラダイス",0,1,"2021/06/24 15:00:00","2030/04/24 14:59:59"
5072,5,10072,"カルミナサマーライブ　\nジャストアモーメント！",0,1,"2021/07/26 15:00:00","2030/04/24 14:59:59"
5074,5,10074,"イリーガルオーエドカルテ　\nDr.ミツキの診察室",0,1,"2021/08/26 15:00:00","2030/04/24 14:59:59"
5076,5,10076,"ハロウィンセイバーズ・スクランブル！　もふもふ捕獲大作戦",0,1,"2021/09/24 15:00:00","2030/04/24 14:59:59"
5078,5,10078,"魔法少女外伝　\nマジカル★ノワールズ！",0,1,"2021/10/25 18:30:00","2030/04/24 14:59:59"
5080,5,10080,"メリープリンクリスマス！　\n空舞う少女とまごころのお菓子",0,1,"2021/11/24 15:00:00","2030/04/24 14:59:59"
5082,5,10082,"新春美食メモリーズ　\nシェフィのおつかい大作戦！",0,1,"2021/12/27 18:30:00","2030/04/24 14:59:59"
5084,5,10084,"Re:member　僕の願いが紡ぐ未来",0,1,"2022/01/24 15:00:00","2030/04/24 14:59:59"
5085,5,10085,"Re:member　僕の願いが紡ぐ未来",0,1,"2022/01/24 15:00:00","2030/04/24 14:59:59"
5088,5,10088,"スイート・タイニー・ステージ！　\n駆け出し女優とリトルレディ",0,1,"2022/02/24 15:00:00","2030/04/24 14:59:59"
5090,5,10090,"お宝頂戴！　インビジブル・スティーラーズ",0,1,"2022/03/24 15:00:00","2030/04/24 14:59:59"
5092,5,10092,"エピソード・オブ・パイレーツ　\n海賊島の呪われし遺宝",0,1,"2022/04/26 18:30:00","2030/04/24 14:59:59"
5094,5,10094,"エンジョイ＆リフレッシュ！　\nでこぼこガールズ・キャンプ",0,1,"2022/05/25 15:00:00","2030/04/24 14:59:59"
5096,5,10096,"トゥインクルサマーゲーム　\n夏海にきらめく三つの想い",0,1,"2022/06/24 15:00:00","2030/04/24 14:59:59"
5098,5,10098,"リトル・サマー・メモリーズ　\n渚でみつけた小さな幸せ",0,1,"2022/07/25 15:00:00","2030/04/24 14:59:59"
