still_id,group_id,still_group_id,still_name,vertical_still_flg,scroll_direction
9000122,10005,0,Menu3scene3,0,0
9000123,10005,0,Menu4scene1,0,0
9000124,10005,0,Menu4scene2,0,0
9000125,10005,0,Menu4scene3,0,0
9000126,10005,0,Menu4scene4,0,0
9000127,10005,0,Menu4scene5,0,0
9000128,10005,0,OPscene1,0,0
9000129,10005,0,OPscene2,0,0
9000130,10005,0,OPscene3,0,0
9000131,10005,0,OPscene4,0,0
9000132,10005,0,OPscene5,0,0
9000133,10005,0,EDscene1,0,0
