group_id,group_id_comment,group_unit_id_01,group_unit_id_02,group_unit_id_03,group_unit_id_04,group_unit_id_05
20097,"ネネカ&ムイミ",107001001,106101001,0,0,0
20098,"ムイミ&クリスティーナ",106101001,107101001,0,0,0
20100,"カヤ&イノリ",106501001,106601001,0,0,0
20103,"ウヅキ＆ミオ",112401001,112601001,0,0,0
20104,"ウヅキ＆リン",112401001,112501001,0,0,0
20105,"ミオ＆リン",112601001,112501001,0,0,0
20106,"ラビリスタ＆リノ",106801001,101101001,0,0,0
20107,"ラビリスタ＆シズル",106801001,104901001,0,0,0
20108,"ラビリスタ＆ネネカ",106801001,107001001,0,0,0
20109,"ラビリスタ＆ムイミ",106801001,106101001,0,0,0
20110,"シェフィ＆ぺコリーヌ",106401001,105801001,0,0,0
20111,"シェフィ＆コッコロ",106401001,105901001,0,0,0
20112,"シェフィ＆キャル",106401001,106001001,0,0,0
20113,"シェフィ＆イオ",106401001,101801001,0,0,0
20114,"ハツネシオリ＆アオイ",180701001,104001001,0,0,0
20115,"ハツネシオリ＆ミサト",180701001,101501001,0,0,0
20116,"ハツネシオリ＆マヒル",180701001,103301001,0,0,0
20117,"ハツネシオリ＆リン",180701001,102601001,0,0,0
20118,"ハツネシオリ＆リマ",180701001,105201001,0,0,0
20119,"クレジッタ＆ペコリーヌ",118001001,105801001,0,0,0
