enemy_id,name,child_enemy_parameter_1,child_enemy_parameter_2,child_enemy_parameter_3,child_enemy_parameter_4,child_enemy_parameter_5
401305505,"ツインピッグス 1段階目 シングルモード",401305506,401305507,0,0,0
401305605,"ツインピッグス 2段階目 シングルモード",401305606,401305607,0,0,0
401305705,"ツインピッグス 3段階目 シングルモード",401305706,401305707,0,0,0
401307104,"ティタノタートル 1段階目",401307106,401307107,0,0,0
401307204,"ティタノタートル 2段階目",401307206,401307207,0,0,0
401307304,"ティタノタートル 3段階目",401307306,401307307,0,0,0
401307404,"ティタノタートル 4段階目",401307406,401307407,0,0,0
401307504,"ティタノタートル 1段階目 シングルモード",401307506,401307507,0,0,0
401307604,"ティタノタートル 2段階目 シングルモード",401307606,401307607,0,0,0
401307704,"ティタノタートル 3段階目 シングルモード",401307706,401307707,0,0,0
401309105,"グラットン 1段階目",401309106,401309107,401309108,0,0
401309205,"グラットン 2段階目",401309206,401309207,401309208,0,0
401309305,"グラットン 3段階目",401309306,401309307,401309308,0,0
401309405,"グラットン 4段階目",401309406,401309407,401309408,0,0
401309505,"グラットン 1段階目 シングルモード",401309506,401309507,401309508,0,0
401309605,"グラットン 2段階目 シングルモード",401309606,401309607,401309608,0,0
401309705,"グラットン 3段階目 シングルモード",401309706,401309707,401309708,0,0
401310104,"オブシダンワイバーン 1段階目",401310105,401310106,401310107,0,0
401310204,"オブシダンワイバーン 2段階目",401310205,401310206,401310207,0,0
401310304,"オブシダンワイバーン 3段階目",401310305,401310306,401310307,0,0
401310404,"オブシダンワイバーン 4段階目",401310405,401310406,401310407,0,0
401310504,"オブシダンワイバーン 1段階目 シングルモード",401310505,401310506,401310507,0,0
401310604,"オブシダンワイバーン 2段階目 シングルモード",401310605,401310606,401310607,0,0
401310704,"オブシダンワイバーン 3段階目 シングルモード",401310705,401310706,401310707,0,0
401311105,"サジタリウス 1段階目",401311106,401311107,0,0,0
401311205,"サジタリウス 2段階目",401311206,401311207,0,0,0
401311305,"サジタリウス 3段階目",401311306,401311307,0,0,0
401311405,"サジタリウス 4段階目",401311406,401311407,0,0,0
401311505,"サジタリウス 1段階目 シングルモード",401311506,401311507,0,0,0
401311605,"サジタリウス 2段階目 シングルモード",401311606,401311607,0,0,0
401311705,"サジタリウス 3段階目 シングルモード",401311706,401311707,0,0,0
401312104,"トライロッカー 1段階目",401312105,401312106,401312107,0,0
401312204,"トライロッカー 2段階目",401312205,401312206,401312207,0,0
401312304,"トライロッカー 3段階目",401312305,401312306,401312307,0,0
401312404,"トライロッカー 4段階目",401312405,401312406,401312407,0,0
401312504,"トライロッカー 5段階目",401312505,401312506,401312507,0,0
401312604,"トライロッカー 1段階目 シングルモード",401312605,401312606,401312607,0,0
401312704,"トライロッカー 2段階目 シングルモード",401312705,401312706,401312707,0,0
401312804,"トライロッカー 3段階目 シングルモード",401312805,401312806,401312807,0,0
401401105,"アクアリオス 1段階目",401401106,401401107,0,0,0
401401205,"アクアリオス 2段階目",401401206,401401207,0,0,0
401401305,"アクアリオス 3段階目",401401306,401401307,0,0,0
401401405,"アクアリオス 4段階目",401401406,401401407,0,0,0
401401505,"アクアリオス 5段階目",401401506,401401507,0,0,0
401401605,"アクアリオス 1段階目 シングルモード",401401606,401401607,0,0,0
401401705,"アクアリオス 2段階目 シングルモード",401401706,401401707,0,0,0
401401805,"アクアリオス 3段階目 シングルモード",401401806,401401807,0,0,0
401403104,"オブシダンワイバーン 1段階目",401403105,401403106,401403107,0,0
401403204,"オブシダンワイバーン 2段階目",401403205,401403206,401403207,0,0
401403304,"オブシダンワイバーン 3段階目",401403305,401403306,401403307,0,0
401403404,"オブシダンワイバーン 4段階目",401403405,401403406,401403407,0,0
401403504,"オブシダンワイバーン 5段階目",401403505,401403506,401403507,0,0
401403604,"オブシダンワイバーン 1段階目 シングルモード",401403605,401403606,401403607,0,0
401403704,"オブシダンワイバーン 2段階目 シングルモード",401403705,401403706,401403707,0,0
401403804,"オブシダンワイバーン 3段階目 シングルモード",401403805,401403806,401403807,0,0
401404104,"ティタノタートル 1段階目",401404105,401404106,0,0,0
401404204,"ティタノタートル 2段階目",401404205,401404206,0,0,0
401404304,"ティタノタートル 3段階目",401404305,401404306,0,0,0
401404404,"ティタノタートル 4段階目",401404405,401404406,0,0,0
401404504,"ティタノタートル 5段階目",401404505,401404506,0,0,0
401404604,"ティタノタートル 1段階目 シングルモード",401404605,401404606,0,0,0
401404704,"ティタノタートル 2段階目 シングルモード",401404705,401404706,0,0,0
401404804,"ティタノタートル 3段階目 シングルモード",401404805,401404806,0,0,0
501010601,"ラースドラゴン",501010602,501010603,501010604,0,0
501010701,"黒月の守護像",501010702,501010703,501010704,0,0
501010705,"白陽の守護像",501010706,501010707,501010708,0,0
610017101,"ペテルギウス NORMAL",610017102,610017103,610017104,0,0
610017201,"ペテルギウス HARD",610017202,610017203,610017204,0,0
610017301,"ペテルギウス VERY HARD",610017302,610017303,610017304,0,0
610017401,"ペテルギウス SP1",610017411,610017412,610017413,0,0
610017402,"ペテルギウス SP2",610017421,610017422,610017423,0,0
610017403,"ペテルギウス SP3",610017431,610017432,610017433,0,0
610036101,"うえきちゃん NORMAL",610036102,610036103,610036104,0,0
610036201,"うえきちゃん HARD",610036202,610036203,610036204,0,0
610036301,"うえきちゃん VERY HARD",610036302,610036303,610036304,0,0
610036401,"うえきちゃん SP1",610036411,610036412,610036413,0,0
610036402,"うえきちゃん SP2",610036421,610036422,610036423,0,0
610036403,"うえきちゃん SP3",610036431,610036432,610036433,0,0
610053101,"ペテルギウス NORMAL",610053102,610053103,610053104,0,0
610053201,"ペテルギウス HARD",610053202,610053203,610053204,0,0
610053301,"ペテルギウス VERY HARD",610053302,610053303,610053304,0,0
610053401,"ペテルギウス SP1",610053411,610053412,610053413,0,0
610053402,"ペテルギウス SP2",610053421,610053422,610053423,0,0
610053403,"ペテルギウス SP3",610053431,610053432,610053433,0,0
610054101,"ドミネイテッドスノーマン NORMAL",610054102,610054103,0,0,0
610054201,"ドミネイテッドスノーマン HARD",610054202,610054203,0,0,0
610054301,"ドミネイテッドスノーマン VERY HARD",610054302,610054303,0,0,0
610054401,"ドミネイテッドスノーマン SP1",610054412,610054413,0,0,0
610054402,"ドミネイテッドスノーマン SP2",610054422,610054423,0,0,0
610054403,"ドミネイテッドスノーマン SP3",610054432,610054433,0,0,0
610063101,"うえきちゃん NORMAL",610063102,610063103,610063104,0,0
610063201,"うえきちゃん HARD",610063202,610063203,610063204,0,0
610063301,"うえきちゃん VERY HARD",610063302,610063303,610063304,0,0
610063401,"うえきちゃん SP1",610063411,610063412,610063413,0,0
610063402,"うえきちゃん SP2",610063421,610063422,610063423,0,0
610063403,"うえきちゃん SP3",610063431,610063432,610063433,0,0
610066101,"バースト・タイムラーベ NORMAL",610066102,610066103,610066104,610066105,0
610066201,"バースト・タイムラーベ HARD",610066202,610066203,610066204,610066205,0
610066301,"バースト・タイムラーベ VERY HARD",610066302,610066303,610066304,610066305,0
610066401,"バースト・タイムラーベ SP1",610066411,610066412,610066413,610066414,0
610066402,"バースト・タイムラーベ SP2",610066421,610066422,610066423,610066424,0
610066403,"バースト・タイムラーベ SP3",610066431,610066432,610066433,610066434,0
800100203,"ロボリマ2020MODE3",800100212,800100213,800100214,0,0
801100213,"カイザーサーバント（マルチ）",801100223,801100233,801100243,0,0
